skill_en,skill_es
Active Learning,Aprendizaje Activo
Active Listening,Escucha Activa
Analyzing Data or Information,Análisis de Datos o Información
Arm-Hand Steadiness,Firmeza de Brazo y Mano
Assisting and Caring for Others,Asistencia y Cuidado a Otros
Auditory Attention,Atención Auditiva
Category Flexibility,Flexibilidad de Categorización
Coaching and Developing Others,Entrenamiento y Desarrollo de Otros
Communicating with People Outside the Organization,Comunicación con Personas Externas a la Organización
Communicating with Supervisors, Peers, or Subordinates,Comunicación con Supervisores, Pares o Subordinados
Complex Problem Solving,Resolución de Problemas Complejos
Control Precision,Precisión de Control
Controlling Machines and Processes,Control de Máquinas y Procesos
Coordinating the Work and Activities of Others,Coordinación del Trabajo y Actividades de Otros
Coordination,Coordinación
Critical Thinking,Pensamiento Crítico
Deductive Reasoning,Razonamiento Deductivo
Depth Perception,Percepción de Profundidad
Developing Objectives and Strategies,Desarrollo de Objetivos y Estrategias
Developing and Building Teams,Desarrollo y Construcción de Equipos
Documenting/Recording Information,Documentación y Registro de Información
Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment,Diseño y Especificación de Dispositivos Técnicos
Dynamic Flexibility,Flexibilidad Dinámica
Dynamic Strength,Fuerza Dinámica
Equipment Maintenance,Mantenimiento de Equipos
Equipment Selection,Selección de Equipos
Establishing and Maintaining Interpersonal Relationships,Establecimiento y Mantenimiento de Relaciones Interpersonales
Estimating the Quantifiable Characteristics of Products, Events, or Information,Estimación de Características Cuantificables
Evaluating Information to Determine Compliance with Standards,Evaluación de Información para Cumplir con Estándares
Explosive Strength,Fuerza Explosiva
Extent Flexibility,Flexibilidad de Extensión
Far Vision,Visión Lejana
Finger Dexterity,Destreza Manual (Dedos)
Flexibility of Closure,Flexibilidad de Cierre (Perceptual)
Fluency of Ideas,Fluidez de Ideas
Getting Information,Obtención de Información
Glare Sensitivity,Sensibilidad al Deslumbramiento
Gross Body Coordination,Coordinación Corporal General
Gross Body Equilibrium,Equilibrio Corporal General
Guiding, Directing, and Motivating Subordinates,Guía, Dirección y Motivación de Subordinados
Handling and Moving Objects,Manipulación y Movimiento de Objetos
Hearing Sensitivity,Sensibilidad Auditiva
Identifying Objects, Actions, and Events,Identificación de Objetos, Acciones y Eventos
Inductive Reasoning,Razonamiento Inductivo
Information Ordering,Ordenamiento de Información
Inspecting Equipment, Structures, or Materials,Inspección de Equipos, Estructuras o Materiales
Installation,Instalación
Instructing,Instrucción
Interpreting the Meaning of Information for Others,Interpretación del Significado de la Información
Judging the Qualities of Objects, Services, or People,Evaluación de Cualidades de Objetos, Servicios o Personas
Judgment and Decision Making,Juicio y Toma de Decisiones
Learning Strategies,Estrategias de Aprendizaje
Making Decisions and Solving Problems,Toma de Decisiones y Resolución de Problemas
Management of Financial Resources,Gestión de Recursos Financieros
Management of Material Resources,Gestión de Recursos Materiales
Management of Personnel Resources,Gestión de Recursos Humanos
Manual Dexterity,Destreza Manual
Mathematical Reasoning,Razonamiento Matemático
Mathematics,Matemáticas
Memorization,Memorización
Monitoring,Monitoreo
Monitoring Processes, Materials, or Surroundings,Monitoreo de Procesos, Materiales o Entorno
Monitoring and Controlling Resources,Monitoreo y Control de Recursos
Multilimb Coordination,Coordinación de Múltiples Extremidades
Near Vision,Visión Cercana
Negotiation,Negociación
Night Vision,Visión Nocturna
Number Facility,Habilidad Numérica
Operating Vehicles, Mechanized Devices, or Equipment,Operación de Vehículos o Equipos Mecanizados
Operation and Control,Operación y Control
Operations Analysis,Análisis de Operaciones
Operations Monitoring,Monitoreo de Operaciones
Oral Comprehension,Comprensión Oral
Oral Expression,Expresión Oral
Organizing, Planning, and Prioritizing Work,Organización, Planificación y Priorización del Trabajo
Originality,Originalidad
Perceptual Speed,Velocidad Perceptual
Performing Administrative Activities,Realización de Actividades Administrativas
Performing General Physical Activities,Realización de Actividades Físicas Generales
Performing for or Working Directly with the Public,Trabajo Directo con el Público
Peripheral Vision,Visión Periférica
Persuasion,Persuasión
Problem Sensitivity,Sensibilidad a los Problemas
Processing Information,Procesamiento de Información
Programming,Programación
Providing Consultation and Advice to Others,Asesoramiento y Consulta a Otros
Quality Control Analysis,Análisis de Control de Calidad
Rate Control,Control de Velocidad (Movimiento)
Reaction Time,Tiempo de Reacción
Reading Comprehension,Comprensión de Lectura
Repairing,Reparación
Repairing and Maintaining Electronic Equipment,Reparación y Mantenimiento de Equipos Electrónicos
Repairing and Maintaining Mechanical Equipment,Reparación y Mantenimiento de Equipos Mecánicos
Resolving Conflicts and Negotiating with Others,Resolución de Conflictos y Negociación
Response Orientation,Orientación de Respuesta
Scheduling Work and Activities,Programación de Trabajo y Actividades
Science,Ciencia
Selective Attention,Atención Selectiva
Selling or Influencing Others,Venta o Influencia sobre Otros
Service Orientation,Orientación al Servicio
Social Perceptiveness,Percepción Social
Sound Localization,Localización de Sonido
Spatial Orientation,Orientación Espacial
Speaking,Hablar en Público
Speech Clarity,Claridad del Habla
Speech Recognition,Reconocimiento del Habla
Speed of Closure,Velocidad de Cierre (Perceptual)
Speed of Limb Movement,Velocidad de Movimiento de Extremidades
Staffing Organizational Units,Dotación de Personal
Stamina,Resistencia Física
Static Strength,Fuerza Estática
Systems Analysis,Análisis de Sistemas
Systems Evaluation,Evaluación de Sistemas
Technology Design,Diseño de Tecnología
Thinking Creatively,Pensamiento Creativo
Time Management,Gestión del Tiempo
Time Sharing,Multitarea (Atención Dividida)
Training and Teaching Others,Capacitación y Enseñanza a Otros
Troubleshooting,Solución de Problemas Técnicos
Trunk Strength,Fuerza del Tronco
Updating and Using Relevant Knowledge,Actualización y Uso de Conocimiento Relevante
Visual Color Discrimination,Discriminación Visual de Colores
Visualization,Visualización
Working with Computers,Trabajo con Computadoras
Wrist-Finger Speed,Velocidad de Muñeca y Dedos
Writing,Escritura
Written Comprehension,Comprensión Escrita
Written Expression,Expresión Escrita

